uf,cargo,url_g1,resumo,candidaturas
BR,Presidente,https://g1.globo.com/politica/eleicoes/2026/noticia/2026/08/28/eleicoes-2026-veja-todos-os-candidatos-a-presidencia-da-republica.ghtml,São 13 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,13
AC,Governador,https://g1.globo.com/ac/acre/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-acre.ghtml,São 6 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,6
AL,Governador,https://g1.globo.com/al/alagoas/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-alagoas.ghtml,São 4 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,4
AM,Governador,https://g1.globo.com/am/amazonas/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-amazonas.ghtml,São 7 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,7
AP,Governador,https://g1.globo.com/ap/amapa/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-amapa.ghtml,São 5 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,5
BA,Governador,https://g1.globo.com/ba/bahia/eleicoes/2026/noticia/2026/09/02/eleicoes-2026-veja-todos-os-candidatos-ao-governo-da-bahia.ghtml,São 7 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,7
CE,Governador,https://g1.globo.com/ce/ceara/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-ceara.ghtml,São 8 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,8
DF,Governador,https://g1.globo.com/df/distrito-federal/eleicoes/2026/noticia/2026/08/28/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-distrito-federal.ghtml,São 11 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,11
ES,Governador,https://g1.globo.com/es/espirito-santo/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-do-espirito-santo.ghtml,São 5 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,5
GO,Governador,https://g1.globo.com/go/goias/eleicoes/2026/noticia/2026/08/31/eleicoes-2026-veja-todos-os-candidatos-ao-governo-de-goias.ghtml,São 6 candidatos registrados na disputa pelo cargo; 1º turno ocorre no dia 4 de outubro.,6
